Hydrology 2,Water Chemistry,Treatment,Rep,Depth,Date,ClppmmgL,SO4mgL,NH4mgL,NO3NmgL,PO4mgL,NPOCmg/L,TNmgL,BrmgL,DIN (mg/L),DON (mg/L)
Flooded,DI,AF,1,25cm,11/2/10,2.10202992,0.64273476,0.67604617,0.0053201,0.00312529,47.54,2.513,0.005,0.68136627,1.83163373
Flooded,DI,AF,2,25cm,11/2/10,23.625071,2.53517827,0.71458696,0.01082283,0.0025,34.24,3.306,0.005,0.72540978,2.58059022
Flooded,DI,AF,3,25cm,11/2/10,3.6981771,0.44917647,1.9035815,0.00234923,0.00620651,66.69,3.567,0.03419406,1.90593073,1.66106927
Flooded,DI,AF,4,25cm,11/2/10,2.86743491,0.49560977,0.80134435,0.01242093,0.00387213,49.05,2.228,0.04140366,0.81376528,1.41423472
Flooded,DI,AF,5,25cm,11/2/10,1.96026529,9.98534794,0.0025,4.91976386,0.05289058,37.6,7.064,0.005,4.92226386,2.14173614
Flooded,DI,AF,1,25cm,11/16/10,1.11808019,3.94267851,0.39709396,0.0526963,0.00345523,21.20538,1.087,0.005,0.44979025,0.63720975
Flooded,DI,AF,2,25cm,11/16/10,59.0924003,1.62847893,1.30626798,0.00649669,0.0025,18.44514,1.714,0.54972807,1.31276467,0.40123533
Flooded,DI,AF,3,25cm,11/16/10,2.62778824,0.31459927,1.67990368,0.00287332,0.00540334,51.53,2.95,0.33060006,1.68277699,1.26722301
Flooded,DI,AF,4,25cm,11/16/10,3.19285982,1.22404661,0.98977526,0.04041262,0.00263985,71.975,3.66,0.35906925,1.03018788,2.62981212
Flooded,DI,AF,5,25cm,11/16/10,7.69208828,12.4851959,,21.9378394,,,,0.01535186,,
Flooded,DI,AF,1,25cm,11/30/10,0.88541954,1.17647008,0.48884609,0.0198376,0.0025,30.18,1.453,0.005,0.50868369,0.94431631
Flooded,DI,AF,2,25cm,11/30/10,70.6569213,0.87368721,1.75618359,0.0041628,0.0025,17.35,2.286,0.06721989,1.7603464,0.5256536
Flooded,DI,AF,3,25cm,11/30/10,3.10375433,0.16292052,2.2041555,0.0005,0.00317819,57.74,3.578,0.10398334,2.2046555,1.3733445
Flooded,DI,AF,4,25cm,11/30/10,1.33329492,5.45597274,0.59724,0.8108567,0.0025,32.3,1.433,0.02566353,1.4080967,0.0249033
Flooded,DI,AF,5,25cm,11/30/10,3.86089254,16.5532373,0.04140334,36.9086999,0.0025,18.96,48.69,0.03548713,36.9501032,11.7398968
Flooded,DI,AF,1,5cm,8/24/10,5.52080763,32.7557686,0.0025,0.44776819,0.03692736,73.61,2.781503,0.0700068,0.45026819,2.33123481
Flooded,DI,AF,2,5cm,8/24/10,4.28416758,15.5019312,0.61,0.12918131,0.0025,78.84,3.00257,0.09983835,0.73918131,2.26338869
Flooded,DI,AF,3,5cm,8/24/10,5.95241607,30.95148,0.992,0.08098197,0.0056292,80.44,3.219479,0.11509413,1.07298197,2.14649703
Flooded,DI,AF,4,5cm,8/24/10,8.25665436,46.2885513,0.96,0.0352672,0.00639552,73.44,3.114143,0.09529488,0.9952672,2.1188758
Flooded,DI,AF,5,5cm,8/24/10,3.92656913,17.6430193,0.245,0.16812496,0.00553992,118.4,4.423913,0.09819239,0.41312496,4.01078804
Flooded,DI,AF,1,5cm,8/31/10,4.21662628,21.1867014,0.44937026,0.0443027,0.0025,94.07,3.001184,0.12370584,0.49367296,2.50751104
Flooded,DI,AF,2,5cm,8/31/10,4.64829175,3.8148604,1.06574129,0.01697805,0.00601441,100.3,3.334517,0.15987847,1.08271934,2.25179766
Flooded,DI,AF,3,5cm,8/31/10,8.18013522,45.3430165,1.38227821,0.02372206,0.0025,88.84,4.191758,0.1317271,1.40600027,2.78575773
Flooded,DI,AF,4,5cm,8/31/10,8.40127773,39.2727902,1.91848419,0.01467509,0.0025,97.5,4.587461,0.191163,1.93315928,2.65430172
Flooded,DI,AF,5,5cm,8/31/10,3.21561704,6.31964875,1.01925187,0.01609315,0.00873352,148.7,5.236802,0.13429988,1.03534502,4.20145698
Flooded,DI,AF,1,5cm,9/7/10,5.59572044,31.4950308,0.46724175,1.82988022,0.0025,92.66,6.639,0.03189105,2.29712197,4.34187803
Flooded,DI,AF,2,5cm,9/7/10,6.05828752,1.7553839,1.221372,0.02137692,0.0025,99.37,4.072,0.14921955,1.24274892,2.82925108
Flooded,DI,AF,3,5cm,9/7/10,8.46083404,19.2911448,1.457388,0.01057273,0.0025,118.4,5.702,0.17192328,1.46796073,4.23403927
Flooded,DI,AF,4,5cm,9/7/10,8.72010661,24.9514631,2.223868,0.01097881,0.0025,103.9,5.631,0.24991525,2.23484681,3.39615319
Flooded,DI,AF,5,5cm,9/7/10,4.43665613,2.59352769,1.316988,0.01040961,0.0025,304,11.962,0.1664681,1.32739761,10.6346024
Flooded,DI,AF,1,5cm,9/14/10,2.22138723,4.96581611,0.3679455,0.06158083,0.0025,107.475,3.375,0.13266207,0.42952633,2.94547367
Flooded,DI,AF,2,5cm,9/14/10,2.86247904,0.89169128,1.129752,0.02308419,0.0025,85.04,3.398,0.16252573,1.15283619,2.24516381
Flooded,DI,AF,3,5cm,9/14/10,7.47215202,6.52338394,1.9182,0.01582815,0.0025,135.4,5.849,0.24426806,1.93402815,3.91497185
Flooded,DI,AF,4,5cm,9/14/10,8.48101484,5.31788961,2.294388,0.01513252,0.0025,132.1,5.962,0.37930815,2.30952052,3.65247948
Flooded,DI,AF,5,5cm,9/14/10,4.25374444,1.07993441,1.654188,0.022126,0.0059568,157.7,5.835,0.43503237,1.676314,4.158686
Flooded,DI,AF,1,5cm,9/21/10,1.6584671,2.63772323,0.24747478,0.12513496,0.0025,104.5079,3.265074,0.15988319,0.37260974,2.89246426
Flooded,DI,AF,2,5cm,9/21/10,2.12343455,0.71331523,0.73981771,0.01715628,0.0025,74.123,3.038026,0.16422292,0.75697399,2.28105201
Flooded,DI,AF,3,5cm,9/21/10,7.27223294,2.80385558,2.20707143,0.01466821,0.0025,135.0293,5.9475,0.34314036,2.22173964,3.72576036
Flooded,DI,AF,4,5cm,9/21/10,6.92854709,1.24251401,2.47124998,0.01760208,0.0025,124.7372,5.84634,0.35300146,2.48885206,3.35748794
Flooded,DI,AF,5,5cm,9/21/10,5.24962179,3.18079649,1.48326387,0.06492751,0.0025,106.5008,4.501474,0.10779488,1.54819137,2.95328263
Flooded,DI,AF,1,5cm,10/5/10,1.25377504,2.46197602,0.11830261,0.22921751,0.00612174,77.45,2.384,0.005,0.34752012,2.03647988
Flooded,DI,AF,2,5cm,10/5/10,60.2751509,0.75923069,2.19160503,0.00314959,0.00619199,,,0.23743738,2.19475462,
Flooded,DI,AF,3,5cm,10/5/10,6.70608902,0.5827019,2.67981677,0.0005,0.0121981,149.5,6.984,0.53021636,2.68031677,4.30368323
Flooded,DI,AF,4,5cm,10/5/10,10.2638252,0.34193268,3.02978052,0.00246992,0.01122406,144.4,6.802,0.66591499,3.03225043,3.76974957
Flooded,DI,AF,5,5cm,10/5/10,5.38082003,0.40184073,1.77972258,0.00106655,0.00898833,126.6,5.185,0.20201959,1.78078913,3.40421087
Flooded,DI,AF,1,5cm,10/19/10,1.30090214,1.64891545,0.00740716,0.11716237,0.00597614,58.1,1.996078,0.01872903,0.12456953,1.87150847
Flooded,DI,AF,2,5cm,10/19/10,71.236634,0.18906725,2.55060791,0.00400896,0.00640652,55.8,4.010848,0.28628014,2.55461687,1.45623113
Flooded,DI,AF,3,5cm,10/19/10,9.07010772,0.42644967,2.96012446,0.09073502,0.0119377,134.3,6.985,0.33707749,3.05085948,3.93414052
Flooded,DI,AF,4,5cm,10/19/10,7.58168757,0.104946,3.15394858,0.00966284,0.0108219,109.4,6.278,0.28799347,3.16361141,3.11438859
Flooded,DI,AF,5,5cm,10/19/10,4.53346034,0.13681093,2.22410432,0.00318065,0.0098655,122.6,5.503,0.18561164,2.22728497,3.27571503
Flooded,DI,AF,1,5cm,11/2/10,2.10987526,0.35678599,0.03925074,0.19128971,0.01278129,69.64,2.355,0.02978326,0.23054045,2.12445955
Flooded,DI,AF,2,5cm,11/2/10,72.4967652,4.8503843,2.41907975,0.0005,0.00458757,44.03,3.365,0.0519561,2.41957975,0.94542025
Flooded,DI,AF,3,5cm,11/2/10,11.2886414,1.41606767,2.68201028,1.04283335,0.00919272,132,7.678,0.05763776,3.72484363,3.95315637
Flooded,DI,AF,4,5cm,11/2/10,2.88092957,0.11569932,2.56424427,0.0005,0.00869639,88.88,4.995,0.005,2.56474427,2.43025573
Flooded,DI,AF,5,5cm,11/2/10,1.40774917,9.06160394,0.0039816,3.38121656,0.00405025,45.67,5.012,0.01651486,3.38519816,1.62680184
Flooded,DI,AF,1,5cm,11/16/10,1.80318241,1.85449079,0.04704016,0.06901152,0.00566562,56.732766,2.00097999,0.01177808,0.11605168,1.88492831
Flooded,DI,AF,2,5cm,11/16/10,462.473916,4.9443829,5.51479342,0.00190538,0.00424326,16.62234,4.634,1.49364295,5.5166988,-0.8826988
Flooded,DI,AF,3,5cm,11/16/10,4.09271446,0.52843186,1.86007731,0.11601157,0.00366221,86.86524,4.332,0.005,1.97608888,2.35591112
Flooded,DI,AF,4,5cm,11/16/10,3.44369379,0.21265809,2.93391067,0.02204671,0.01083266,97.775,5.8275,0.36824006,2.95595738,2.87154262
Flooded,DI,AF,5,5cm,11/16/10,2.80609978,22.8409886,0.0025,36.8387091,0.00489402,24.74,49.84,0.0220822,36.8412091,12.9987909
Flooded,DI,AF,1,5cm,11/30/10,1.54039846,0.79087953,0.07402,0.16642249,0.0025,52.65,1.821,0.01638636,0.24044249,1.58055751
Flooded,DI,AF,2,5cm,11/30/10,458.044018,3.13658197,6.289484,0.0005,0.0025,19.64,6.27,1.75333604,6.289984,-0.019984
Flooded,DI,AF,3,5cm,11/30/10,5.76702054,0.2286145,3.40782679,0.00910331,0.00278555,110.4,5.819,0.08269281,3.4169301,2.4020699
Flooded,DI,AF,4,5cm,11/30/10,1.81170675,2.8725038,1.42648625,1.21201877,0.00383527,41.7,3.957,0.005,2.63850502,1.31849498
Flooded,DI,AF,5,5cm,11/30/10,2.46342477,24.9629087,0.0025,50.7249048,0.0025,25.36,68.49,0.02611411,50.7274048,17.7625952
Drought,ASW,BD,1,15cm,8/24/10,0.01464217,0.10343017,0.392,0.01548635,0.00620208,70.14,2.159,0.07959289,0.40748635,1.75151365
Drought,ASW,BD,2,15cm,8/24/10,3.97708012,15.1002874,0.55,0.03616276,0.0025,67.68,2.176,0.08116877,0.58616276,1.58983724
Drought,ASW,BD,3,15cm,8/24/10,3.24831774,8.31721496,0.41,0.06699992,0.00542832,70.72,2.111372,0.10010502,0.47699992,1.63437208
Drought,ASW,BD,4,15cm,8/24/10,2.18860066,8.30349456,0.169,0.04987121,0.00542832,58.61,1.913867,0.07596044,0.21887121,1.69499579
Drought,ASW,BD,5,15cm,8/24/10,4.71810209,17.4845521,0.0025,33.835115,0.00591936,38.26,38.87918,0.005,33.837615,5.04156498
Drought,ASW,BD,1,15cm,8/31/10,6.81631403,4.49441656,0.59408254,0.01698403,0.0025,65.87,2.098205,0.13741331,0.61106657,1.48713843
Drought,ASW,BD,2,15cm,8/31/10,42.3856581,25.6127435,1.89545636,0.02175492,0.0025,67.03,3.615182,0.20452792,1.91721128,1.69797072
Drought,ASW,BD,3,15cm,8/31/10,389.345449,33.4590135,3.34497874,0.17420284,0.0025,31.14,4.538951,1.33508583,3.51918158,1.01976942
Drought,ASW,BD,4,15cm,8/31/10,21.4422451,7.09396909,0.63528664,0.03626784,0.00752563,37.32,1.509155,0.11379983,0.67155448,0.83760052
Drought,ASW,BD,5,15cm,8/31/10,7.30478765,18.6580903,0.03389068,40.1153391,0.0025,34.92,41.13143,0.005,40.1492297,0.98220026
Drought,ASW,BD,1,15cm,9/7/10,0.005,12.4518129,0.2304875,0.68460936,0.0025,56.77,2.626,2.75777457,0.91509687,1.71090313
Drought,ASW,BD,2,15cm,9/7/10,335.258905,37.5349772,4.85371458,0.42446792,0.0025,25.81,6.545,3.18904311,5.2781825,1.2668175
Drought,ASW,BD,3,15cm,9/7/10,1301.31841,32.2205768,9.40940981,0.39768914,0.00587098,29.35,13.52,5.02762407,9.80709895,3.71290105
Drought,ASW,BD,4,15cm,9/7/10,500.867265,10.7757153,3.11313293,0.40441349,0.0025,23.94,5.44,3.50141178,3.51754642,1.92245358
Drought,ASW,BD,5,15cm,9/7/10,79.0578141,27.0545025,0.28637897,44.55985,0.0025,31.39,62.91,2.54323699,44.846229,18.063771
Drought,ASW,BD,1,15cm,9/14/10,6.10359053,12.9234763,0.08507427,4.21509287,0.09509736,116.4,5.88006,0.11293519,4.30016714,1.57989286
Drought,ASW,BD,2,15cm,9/14/10,1432.62707,153.341644,9.49365,0.5668688,0.0025,21.01,11.3708,2.88973061,10.0605188,1.3102812
Drought,ASW,BD,3,15cm,9/14/10,1971.22631,139.233427,20.464,0.39198342,0.0025,21.48,22.41972,5.51571761,20.8559834,1.56373658
Drought,ASW,BD,4,15cm,9/14/10,1395.07812,91.4470082,8.69441007,0.39795367,0.01392516,22.52,10.14564,3.4771736,9.09236374,1.05327626
Drought,ASW,BD,5,15cm,9/14/10,277.438264,79.4193089,0.58022064,102.510516,0.0025,29.72,89.9946,0.005,103.090736,-13.096136
Drought,ASW,BD,1,15cm,9/21/10,3.7345771,9.83677508,,7.79149473,,41.75885,8.01566,0.21262667,,
Drought,ASW,BD,2,15cm,9/21/10,2551.90351,278.777963,16.92228,1.31154722,0.00753087,24.5735,17.51908,13.4385135,18.2338272,-0.7147472
Drought,ASW,BD,3,15cm,9/21/10,2444.53611,212.132503,19.86804,1.29288878,0.00919588,17.5847,20.3909,13.446218,21.1609288,-0.7700288
Drought,ASW,BD,4,15cm,9/21/10,1321.14375,453.353028,12.3935994,3.48541656,0.0025,18.66109,16.53712,10.6155556,15.879016,0.65810404
Drought,ASW,BD,5,15cm,9/21/10,399.250469,64.4700811,,127.055428,,,,0.005,,
Drought,ASW,BD,2,15cm,10/5/10,2624.72708,134.724316,25.3529226,3.85865275,0.00560989,20.865,32.73,0.005,29.2115753,3.51842467
Drought,ASW,BD,3,15cm,10/5/10,2900.45423,121.197085,18.0080968,0.0005,0.00841439,24.63,20.24,2.609982,18.0085968,2.23140323
Drought,ASW,BD,4,15cm,10/5/10,3323.66401,147.945499,18.2867806,0.0005,0.00590458,20.32,19.92,0.67396589,18.2872806,1.63271935
Drought,ASW,BD,5,15cm,10/5/10,712.596299,187.231009,,148.949346,,39.02,151.2,0.005,,
Drought,ASW,BD,1,15cm,10/19/10,105.131278,16.0188162,0.04051741,33.9597173,0.01199874,26.07,38.77,0.005,34.0002347,4.76976525
Drought,ASW,BD,2,15cm,10/19/10,2766.81467,138.164497,12.0235115,2.09703618,0.0084309,15.61,20.28,4.17140224,14.1205477,6.15945231
Drought,ASW,BD,3,15cm,10/19/10,2866.51058,232.383064,12.6845734,0.0209371,0.00494801,17.14,22.49,5.37939826,12.7055105,9.78448952
Drought,ASW,BD,4,15cm,10/19/10,2835.7212,118.92022,16.5760673,0.41347945,0.00512665,19.73,25.39,1.84413372,16.9895467,8.40045328
Drought,ASW,BD,5,15cm,10/19/10,1033.61408,278.62242,22.8852009,127.328473,0.01582026,47.8,164.88,0.005,150.213674,14.6663256
Drought,ASW,BD,1,15cm,11/2/10,569.637571,21.3985607,4.91296917,57.6662483,0.0025,25.87,74.77,0.005,62.5792175,12.1907825
Drought,ASW,BD,2,15cm,11/2/10,2625.17885,128.580237,14.2570628,0.13864626,0.00789135,15.38,11.42,0.005,14.3957091,-2.9757091
Drought,ASW,BD,3,15cm,11/2/10,2981.45019,132.372945,17.7158798,0.0005,0.00742423,19.3,13.64,0.33407208,17.7163798,-4.0763798
Drought,ASW,BD,4,15cm,11/2/10,,,19.8860597,,0.0064508,30.89,14.82,,,
Drought,ASW,BD,5,15cm,11/2/10,1279.73227,312.037335,4.2041504,140.526905,0.0025,49.96,171.64,0.005,144.731056,26.9089444
Drought,ASW,BD,1,15cm,11/16/10,1266.32877,126.695081,9.49504842,106.640447,0.04198248,36.24,95.5,0.005,116.135496,-20.635496
Drought,ASW,BD,2,15cm,11/16/10,2999.67815,332.274705,16.4308538,1.91936357,0.00821979,14.59,18.55,3.89058919,18.3502173,0.19978268
Drought,ASW,BD,3,15cm,11/16/10,3196.47058,252.29868,9.68496561,0.21177751,0.0025,19.28,16.66,5.68541276,9.89674313,6.76325687
Drought,ASW,BD,1,15cm,11/30/10,1578.32171,79.4977359,25.015812,89.459871,0.0025,27.02,117.6,0.005,114.475683,3.12431697
Drought,ASW,BD,2,15cm,11/30/10,2763.49287,261.462039,9.5819,0.04695385,0.0025,14.08,12.12,0.005,9.62885385,2.49114615
Drought,ASW,BD,3,15cm,11/30/10,3241.33241,187.371918,12.629336,0.0005,0.00697791,25.37,11.12,2.43116688,12.629836,-1.509836
Drought,ASW,BD,1,25cm,8/24/10,6.31277543,8.35576563,0.246,0.03625202,0.0025,53.35,1.712,0.09311917,0.28225202,1.42974798
Drought,ASW,BD,2,25cm,8/24/10,6.35734287,18.6313018,0.586,0.06532248,0.00521256,65.49,2.525,0.09734193,0.65132248,1.87367752
Drought,ASW,BD,3,25cm,8/24/10,1.34338267,3.71101052,0.0975,0.03326813,0.0025,34.6,20.09195,0.07894118,0.13076813,19.9611819
Drought,ASW,BD,4,25cm,8/24/10,3.01614,11.2825912,0.244,0.25683475,0.0025,55.95,1.795364,0.07721213,0.50083475,1.29452925
Drought,ASW,BD,5,25cm,8/24/10,5.00992146,17.788284,0.0025,16.6932934,0.0025,26.98,18.3941,0.005,16.6957934,1.69830655
Drought,ASW,BD,1,25cm,8/31/10,7.15044201,2.17719684,0.41147875,0.00992358,0.0025,56.97,1.772495,0.0631541,0.42140233,1.35109267
Drought,ASW,BD,2,25cm,8/31/10,175.116316,27.4882639,2.31085935,0.07629518,0.0025,40.5,3.486284,0.63026779,2.38715453,1.09912947
Drought,ASW,BD,3,25cm,8/31/10,1486.79814,155.473426,1.89273933,1.15294678,0.0060387,16.12,2.386493,10.8053689,3.04568612,-0.6591931
Drought,ASW,BD,4,25cm,8/31/10,386.508207,33.5797554,1.49227547,0.17279911,0.0025,16.64,1.933271,1.38411682,1.66507457,0.26819643
Drought,ASW,BD,5,25cm,8/31/10,10.9101188,16.9075876,0.17967664,17.2232465,0.0025,26.45,18.21392,0.005,17.4029231,0.81099687
Drought,ASW,BD,1,25cm,9/7/10,1.47233724,9.27490157,0.05782678,1.17488385,0.0025,41.47,3.837,2.74127168,1.23271063,2.60428937
Drought,ASW,BD,2,25cm,9/7/10,486.164157,32.9695081,5.65049793,0.39792205,0.0025,27.19,7.138,3.33285288,6.04841998,1.08958002
Drought,ASW,BD,3,25cm,9/7/10,1697.80189,187.694014,7.48141402,0.39517341,0.00515722,20.86,9.18,6.15132025,7.87658743,1.30341257
Drought,ASW,BD,4,25cm,9/7/10,1367.76507,133.655001,4.62517452,0.39710686,0.00514065,20.39,5.78,5.44501662,5.02228138,0.75771862
Drought,ASW,BD,5,25cm,9/7/10,69.6707738,26.2815022,0.55871607,14.0004258,0.0025,26.05,21.07,2.5267341,14.5591419,6.5108581
Drought,ASW,BD,1,25cm,9/14/10,5.88069372,11.9823409,0.0370736,3.22211774,0.0025,38.49,4.007476,1.39525882,3.25919135,0.74828465
Drought,ASW,BD,2,25cm,9/14/10,2003.32589,198.934959,11.41468,0.65769675,0.0025,15.46,11.35394,5.98197053,12.0723767,-0.7184367
Drought,ASW,BD,3,25cm,9/14/10,1708.15836,63.4239223,15.898864,0.27276395,0.0025,19.14,16.82782,4.27705663,16.171628,0.65619203
Drought,ASW,BD,4,25cm,9/14/10,2090.55398,150.945559,9.66833849,6.66440063,0.00770271,26.92,10.88748,7.70400383,16.3327391,-5.4452591
Drought,ASW,BD,5,25cm,9/14/10,233.984625,31.5159217,2.105856,30.7905325,0.0067,33.29,29.17496,0.005,32.8963885,-3.7214285
Drought,ASW,BD,1,25cm,9/21/10,7.22901917,10.1308284,,5.61727834,,34.14215,6.21164,0.005,,
Drought,ASW,BD,2,25cm,9/21/10,2706.05293,228.148258,17.044,1.28833524,0.00881459,22.5533,17.28304,14.4219322,18.3323352,-1.0492952
Drought,ASW,BD,3,25cm,9/21/10,2624.38302,190.635064,19.22556,1.26354167,0.00790867,21.96635,19.9975,14.1232743,20.4891017,-0.4916017
Drought,ASW,BD,4,25cm,9/21/10,2755.22458,105.75256,5.4623832,0.30397573,0.0025,29.897,19.73336,3.1798188,5.76635893,13.9670011
Drought,ASW,BD,5,25cm,9/21/10,482.239881,244.838368,1.7266922,40.7162008,0.0025,20.95625,39.6675,0.005,42.442893,-2.775393
Drought,ASW,BD,1,25cm,10/5/10,18.3368074,16.8524007,,19.351722,,45.44,23.44,0.005,,
Drought,ASW,BD,2,25cm,10/5/10,2608.76418,174.121531,,0.0005,,33.93,40.395,0.005,,
Drought,ASW,BD,3,25cm,10/5/10,3876.53086,97.5383013,26.2906645,0.0005,0.0107706,72.52,32.72,2.45386121,26.2911645,6.42883548
Drought,ASW,BD,4,25cm,10/5/10,2931.60035,588.314831,9.06484742,0.0005,0.00651043,19.61,9.669,1.91140621,9.06534742,0.60365258
Drought,ASW,BD,2,25cm,10/19/10,2885.02742,163.509015,12.798418,0.0005,0.00588847,14.53,23.05,4.68338635,12.798918,10.251082
Drought,ASW,BD,3,25cm,10/19/10,4091.74076,120.793933,14.1709763,0.0005,0.009467,53,32.9,7.15401329,14.1714763,18.7285237
Drought,ASW,BD,4,25cm,10/19/10,3795.24879,753.115979,14.7136845,0.0005,0.00646562,31.92,20.28,3.5409384,14.7141845,5.56581547
Drought,ASW,BD,5,25cm,10/19/10,883.006821,89.7786328,14.1976245,56.8108739,0.028401,27.32,77.57,0.005,71.0084983,6.56150166
Drought,ASW,BD,2,25cm,11/2/10,2869.28839,105.4172,15.7266909,0.0005,0.00729172,14.46,11.8,1.10251576,15.7271909,-3.9271909
Drought,ASW,BD,3,25cm,11/2/10,4032.1154,19.981344,19.6115043,0.0005,0.01207495,48.48,19.5,0.005,19.6120043,-0.1120043
Drought,ASW,BD,4,25cm,11/2/10,3566.00893,119.36614,29.8259449,0.56563258,0.0025,38.44,24.364,12.225416,30.3915774,-6.0275774
Drought,ASW,BD,5,25cm,11/2/10,1086.97602,101.856811,18.5860227,71.6026842,0.0025,36.768,92.36,0.005,90.1887069,2.1712931
Drought,ASW,BD,2,25cm,11/16/10,3012.4622,165.815192,16.0471435,0.24563546,0.01049369,20.04,18.89,3.89779189,16.2927789,2.59722106
Drought,ASW,BD,3,25cm,11/16/10,4361.89776,75.2556485,15.9498538,0.07778,0.0025,33.93,19.96,6.095276,16.0276338,3.93236625
Drought,ASW,BD,5,25cm,11/16/10,1483.40158,49.234484,,78.013368,,31.58,96.88,0.130059,,
Drought,ASW,BD,2,25cm,11/30/10,2887.11327,199.909005,15.737324,0.0005,0.0025,13.58,11.92,0.005,15.737824,-3.817824
Drought,ASW,BD,3,25cm,11/30/10,4735.2284,55.6003218,16.883632,0.0005,0.0025,42.31,16.22,8.27300385,16.884132,-0.664132
Drought,ASW,BD,5,25cm,11/30/10,5350.29646,1203.3074,33.0067977,141.007838,0.0025,31.78,104.28,86.4058226,174.014636,-69.734636
Drought,ASW,BD,1,5cm,8/24/10,8.81541245,21.135259,0.742,0.09063714,0.0025,99.23,3.507,0.25156504,0.83263714,2.67436286
Drought,ASW,BD,2,5cm,8/24/10,10.6434217,33.8432575,0.756,0.1070678,0.0025,76.56,3.265,0.10514942,0.8630678,2.4019322
Drought,ASW,BD,3,5cm,8/24/10,6.48803737,17.1180257,0.728,0.34970298,0.0025,52.75,1.6235,0.10971168,1.07770298,0.54579702
Drought,ASW,BD,4,5cm,8/24/10,9.24116608,28.9013912,0.494,0.0720697,0.0025,86.31,3.486284,0.08731106,0.5660697,2.9202143
Drought,ASW,BD,5,5cm,8/24/10,11.9757403,48.6689072,1.392,87.4834665,0.0338256,46.3,1.49876,0.005,88.8754665,-87.376706
Drought,ASW,BD,1,5cm,8/31/10,13.9963266,22.3199112,1.54370738,0.10444118,0.0025,107,4.432922,0.09873864,1.64814857,2.78477343
Drought,ASW,BD,2,5cm,8/31/10,12.6559082,36.817503,1.2211902,0.04739943,0.0025,111.5,4.712894,0.121486,1.26858963,3.44430437
Drought,ASW,BD,3,5cm,8/31/10,21.7814356,17.1824535,1.48415463,0.01071242,0.0025,95.31,4.04207,0.13422778,1.49486705,2.54720295
Drought,ASW,BD,4,5cm,8/31/10,18.5961862,41.49673,0.94407196,0.03493158,0.0025,50.11,2.150873,0.04502851,0.97900355,1.17186945
Drought,ASW,BD,5,5cm,8/31/10,12.6804394,41.1124591,0.20732278,0.0005,0.0025,43.6,98.99,0.005,0.20782278,98.7821772
Drought,ASW,BD,1,5cm,9/7/10,6.10400456,23.8395816,0.05141956,1.35371502,0.0025,61.15,4.333,,1.40513459,2.92786541
Drought,ASW,BD,2,5cm,9/7/10,9.19419681,37.5952942,0.15215613,1.04710621,0.0025,77.66,4.423,2.72476879,1.19926234,3.22373766
Drought,ASW,BD,3,5cm,9/7/10,70.171554,21.754411,1.8143858,0.5634728,0.0025,49.5,4.838,2.67526012,2.37785861,2.46014139
Drought,ASW,BD,4,5cm,9/7/10,0.005,17.0197388,0.14495424,0.58914578,0.0025,69.74,2.77,2.60924855,0.73410002,2.03589998
Drought,ASW,BD,5,5cm,9/7/10,9.24831952,98.6002316,0.32883213,71.4981276,0.00893847,43.07,99.55,2.55973988,71.8269597,27.7230403
Drought,ASW,BD,2,5cm,9/14/10,269.47859,41.1216509,0.08625324,6.36644913,0.0025,36.2,7.65598,0.005,6.45270238,1.20327762
Drought,ASW,BD,3,5cm,9/14/10,552.902985,35.6071579,4.2381,4.04256398,0.0025,33.585,10.92759,0.005,8.28066398,2.64692602
Drought,ASW,BD,4,5cm,9/14/10,227.642567,8.2937654,0.07596234,0.77338866,0.0025,22.41,1.786941,3.18882199,0.849351,0.93759
Drought,ASW,BD,5,5cm,9/14/10,10.0924447,41.8093659,,112.34853,,53.44,112.33872,0.43164384,,
Drought,ASW,BD,2,5cm,9/21/10,1028.41017,37.1113405,1.03173506,6.01434146,0.0025,34.055175,9.60408,0.73322679,7.04607652,2.55800348
Drought,ASW,BD,3,5cm,9/21/10,1542.99672,145.115775,14.5936224,1.73160355,0.00582949,23.2358,17.08072,0.005,16.3252259,0.75549405
Drought,ASW,BD,2,5cm,10/5/10,2295.45388,64.9474195,3.34666452,33.7210044,0.00474984,26.25,38.26,0.005,37.0676689,1.19233112
Drought,ASW,BD,3,5cm,10/5/10,2069.02226,138.974417,22.6930539,0.89418016,0.00524596,34.31,27.98,0.18469171,23.587234,4.39276597
Drought,ASW,BD,3,5cm,10/19/10,2522.54235,164.289664,13.1359633,6.07022347,0.00506756,25.58,30.83,2.49677758,19.2061868,11.6238132
Drought,ASW,BD,2,5cm,11/2/10,2532.12023,102.711437,3.35044625,16.2690134,0.00819517,25.83,17.12,0.005,19.6194596,-2.4994596
Drought,ASW,BD,3,5cm,11/2/10,2484.33666,140.455064,9.3660166,7.21206302,0.00635202,33.25,13.8,0.005,16.5780796,-2.7780796
Drought,ASW,BD,5,5cm,11/2/10,2481.0499,130.018133,,7.30082523,,40.24,100.7,0.005,,
Drought,ASW,BD,2,5cm,11/16/10,2898.14857,115.731536,2.97907219,13.3965552,0.01264815,23.74,16.05,7.80388848,16.3756274,-0.3256274
Drought,ASW,BD,3,5cm,11/16/10,2753.8746,279.229599,3.6969733,5.08432486,0.00774829,30.31,10.67,2.89732703,8.78129816,1.88870184
